propertyId	longitudeBefore	longitudeAfter	latitudeBefore	latitudeAfter	addressBefore	addressAfter	addressBeforeCharLength	addressAfterCharLength	addressBeforeContainsJalan	addressAfterContainsJalan	additionalRegionBefore	additionalRegionAfter	additionalRegionBeforeCharLength	additionalRegionAfterCharLength	isVenueGrouped	userId	userPropertyCount	userWrongProperty	userReviewedProperty	userCheckedProperty
954966196	112.6526416	112.65082071429	-7.2791977	-7.2776443234306	sambikerep	Jl. Raya Sambikerep	10	19	no	yes	sambikerep	Sambikerep	10	10	no	30797927	261	160	177	1
558609413	110.3694896	110.3929639619	-7.7955798	-7.7901186899992	Jl Timoho, Baciro, Gondokusuman, Kota Yogyakarta	Jl. Timoho	48	10	yes	yes	Baciro, Gondokusuman	Baciro, Gondokusuman	20	20	yes	38682409	671	273	350	0
834800059	107.6191228	107.60874395026	-6.9174639	-6.9445508503771	kembar,bkr,sriwijaya	Jl. Kembar	20	10	no	yes	bandung tengah	BKR, Regol	14	10	no	32371204	34	14	22	3
850413455	106.686262635938	106.686262635938	-6.35450075001909	-6.35450075001909	Jl. Raya Puspitek	Jl. Raya Puspitek	17	17	yes	yes	Pamulang	Pamulang	8	8	yes	36404901	186	100	157	5
565412892	106.9177944	106.92888342263	-6.3764529	-6.3843393411729	Jl. Alternatif Cibubur	Jl. Alternatif Cibubur	22	22	yes	yes	Cibubur	Cibubur	7	7	yes	32414944	1052	217	500	18
784447089	109.3060609	109.30632858955	-0.0477943	-0.048475290992329	Jln. Danau Sentarum Gg. Pak Madjid	Jl. Danau Sentarum	34	18	yes	yes	 Jln. Danau Sentarum Gg. Pak Madjid	Sungai Bangkong	35	15	no	31201822	4899	2269	2414	2
117724082	106.95863671402	106.95863671402	-6.3058254091984	-6.3058254091984	Jl. Raya Villa Jatirasa	Jl. Raya Villa Jatirasa	23	23	yes	yes	Jatiasih	Jatiasih	8	8	yes	31906134	955	432	570	66
145601851	106.8109553	106.8072791	-6.4281758	-6.438567	jl.raya citayam	Jl. Raya Citayam	15	16	yes	yes	pancoran mas	Pancoran Mas	12	12	yes	31688880	40	23	45	0
239292565	110.402376	110.41741248945	-7.7325213	-7.6825238486454	Sinduharjo	Sinduharjo	10	10	no	no	Kaliurang, Ngaglik	Kaliurang, Ngaglik	18	18	no	36809684	968	529	710	2
524683395	110.3642871	110.36683943929	-7.7782576	-7.7782330134343	Jalan Monginsidi	Jl. Monginsidi	16	14	no	yes	Jetis	Jetis	5	5	no	38569162	149	25	104	3
972148380	112.7107433	112.71077332698	-7.2824402	-7.2806194645436	DUKUH KUPANG	Jl. Dukuh Kupang Barat	12	22	no	yes	DUKUH KUPANG	Dukuh Pakis	12	11	no	34747042	215	120	153	12
687580364	106.9054618	106.90511847725	-6.1604549	-6.1759429834742	Kelapa Gading	Kelapa Gading	13	13	no	no	Pegangsaan Dua	Pegangsaan Dua	14	14	yes	32387361	52	40	52	0
571559107	106.92888342263	106.92888342263	-6.3843393411729	-6.3843393411729	Jl. Alternatif Cibubur	Jl. Alternatif Cibubur	22	22	yes	yes	Cibubur	Cibubur	7	7	yes	32414944	1052	217	500	18
