propertyId	longitudeBefore	latitudeBefore	addressBefore	addressBeforeCharLength	addressBeforeContainsJalan	additionalRegionBefore	additionalRegionBeforeCharLength	isVenueGrouped	userPropertyCount	userWrongProperty	userReviewedProperty	userCheckedProperty	longitudeAfter	latitudeAfter	addressAfter	addressAfterCharLength	addressAfterContainsJalan	additionalRegionAfter	additionalRegionAfterCharLength
954966196	112.6526416	-7.2791977	sambikerep	10	no	sambikerep	10	no	261	160	177	1	112.65082071429	-7.2776443234306	Jl. Raya Sambikerep	19	yes	Sambikerep	10
558609413	110.3694896	-7.7955798	Jl Timoho, Baciro, Gondokusuman, Kota Yogyakarta	48	yes	Baciro, Gondokusuman	20	yes	671	273	350	0	110.3929639619	-7.7901186899992	Jl. Timoho	10	yes	Baciro, Gondokusuman	20
834800059	107.6191228	-6.9174639	kembar,bkr,sriwijaya	20	no	bandung tengah	14	no	34	14	22	3	107.60874395026	-6.9445508503771	Jl. Kembar	10	yes	BKR, Regol	10
850413455	106.686262635938	-6.35450075001909	Jl. Raya Puspitek	17	yes	Pamulang	8	yes	186	100	157	5	106.686262635938	-6.35450075001909	Jl. Raya Puspitek	17	yes	Pamulang	8
565412892	106.9177944	-6.3764529	Jl. Alternatif Cibubur	22	yes	Cibubur	7	yes	1052	217	500	18	106.92888342263	-6.3843393411729	Jl. Alternatif Cibubur	22	yes	Cibubur	7
784447089	109.3060609	-0.0477943	Jln. Danau Sentarum Gg. Pak Madjid	34	yes	 Jln. Danau Sentarum Gg. Pak Madjid	35	no	4899	2269	2414	2	109.30632858955	-0.048475290992329	Jl. Danau Sentarum	18	yes	Sungai Bangkong	15
117724082	106.95863671402	-6.3058254091984	Jl. Raya Villa Jatirasa	23	yes	Jatiasih	8	yes	955	432	570	66	106.95863671402	-6.3058254091984	Jl. Raya Villa Jatirasa	23	yes	Jatiasih	8
145601851	106.8109553	-6.4281758	jl.raya citayam	15	yes	pancoran mas	12	yes	40	23	45	0	106.8072791	-6.438567	Jl. Raya Citayam	16	yes	Pancoran Mas	12
239292565	110.402376	-7.7325213	Sinduharjo	10	no	Kaliurang, Ngaglik	18	no	968	529	710	2	110.41741248945	-7.6825238486454	Sinduharjo	10	no	Kaliurang, Ngaglik	18
524683395	110.3642871	-7.7782576	Jalan Monginsidi	16	no	Jetis	5	no	149	25	104	3	110.36683943929	-7.7782330134343	Jl. Monginsidi	14	yes	Jetis	5
972148380	112.7107433	-7.2824402	DUKUH KUPANG	12	no	DUKUH KUPANG	12	no	215	120	153	12	112.71077332698	-7.2806194645436	Jl. Dukuh Kupang Barat	22	yes	Dukuh Pakis	11
687580364	106.9054618	-6.1604549	Kelapa Gading	13	no	Pegangsaan Dua	14	yes	52	40	52	0	106.90511847725	-6.1759429834742	Kelapa Gading	13	no	Pegangsaan Dua	14
571559107	106.92888342263	-6.3843393411729	Jl. Alternatif Cibubur	22	yes	Cibubur	7	yes	1052	217	500	18	106.92888342263	-6.3843393411729	Jl. Alternatif Cibubur	22	yes	Cibubur	7
623336255	110.4093165	-7.8057905	RIngroad Timur	14	no	Banguntapan 	12	no	495	269	373	2	110.40890321949	-7.8050745143474	Jl. Ringroad Timur	18	yes	Banguntapan 	12
103363247	106.7942405	-6.4024844	Jalan Raya Kemang Raden Raden Saleh Cilodong Depok	50	no	Cilodong Depok	14	no	222	69	130	23	106.83692653069	-6.4229831472587	Jalan Raya Kemang	17	no	Raden Saleh, Cilodong	21
910479072	106.9755726	-6.2382699	Jl. Jatiasih	12	yes	Jatiasih	8	no	901	395	568	77	106.93467268889	-6.3505766600587	Jl. Mess AL	11	yes	Jatisari, Jatiasih	18
711782775	112.65302112024	-7.2975057973384	Jl. Telaga Mas Road	19	yes	Lidah Kulon	11	yes	249	81	201	61	112.65302112024	-7.2975057973384	Jl. Telaga Mas Road	19	yes	Lidah Kulon	11
693538794	106.7644649	-6.6021788	Jl.Raya Ciomas	14	yes	Padasuka, Ciomas	16	yes	76	35	48	0	106.76426913188	-6.5997076887021	Jl. Cikerti	11	yes	Padasuka, Ciomas	16
392310535	106.9755726	-6.2382699	puri bintara	12	no	Bintara	7	yes	324	117	209	65	106.95627260623	-6.2295852104314	Jl. Bintara Raya	16	yes	Bintara	7
879812151	106.9754727	-6.2675129	Jl. Pulo ribung	15	yes	Pekayon Jaya	12	no	17	5	8	1	106.97518541417	-6.2676122662231	Jl. Pulo Ribung	15	yes	Pekayon Jaya	12
498669329	106.7942405	-6.4024844	Mampang	7	no	Pancoran Mas	12	no	786	803	826	1	106.79379915389	-6.3877921784297	Mampang	7	no	Pancoran Mas	12
864136499	107.0678216	-6.2356749	Jl.Tambun Selatan	17	yes	Tambun Selatan 	15	no	351	102	160	11	107.07732799378	-6.251546752955	Jl. K.H Mas'ud	14	yes	Tambun Selatan 	15
475705297	112.2384017	-7.5360639	Lebak Permai	12	no	Tambaksari	10	no	144	79	126	1	112.77840163492	-7.2446613139744	Jl. Lebak Permai	16	yes	Tambaksari	10
981311630	112.2384017	-7.5360639	Nginden Intan Barat	19	no	Sukolilo	8	no	740	405	671	202	112.76669582292	-7.3053775990194	Jl. Nginden Intan Barat	23	yes	Sukolilo	8
851351290	110.3859913	-7.8426533	Tamanan Banguntapan Bantul Yogyakarta	37	no	Tamanan Banguntapan Bantul Yogyakarta 	38	yes	196	586	695	3	110.3859913	-7.8426533	Tamanan	7	no	Banguntapan	11
